factor,cocktail_id,target_cell,source_cell,rank,percentile,family,n_regulatory
TBX5,SET3-CARD-01,Cardiomyocyte human,Fibroblast,3,0.09,Cardiac,3166
SPI1,SET3-MAC-01,Macrophage,Fibroblast,6,0.19,Immune,3166
PAX6,SET3-NEURON-07,Neuron from astrocyte,Astrocyte,9,0.28,Neuron,3166
GATA4,SET3-CARD-01,Cardiomyocyte human,Fibroblast,10,0.32,Cardiac,3166
BATF3,SET3-DC-01,cDC1,Fibroblast,14,0.44,Immune,3166
NEUROD1,SET3-NEURON-08,Neuron from astrocyte,Astrocyte,20,0.63,Neuron,3166
CEBPA,SET3-AT2-01,AT2 maintenance,AT2,21,0.66,Lung,3166
HNF1B,SET3-REC-01,Renal tubular epithelial,Fibroblast,22,0.69,Renal,3166
HHEX,SET3-MYELOID-01,Monocyte/Macrophage,Fibroblast,30,0.95,Immune,3166
SRF,SET3-CARD-02,Cardiomyocyte human,Fibroblast,33,1.04,Cardiac,3166
MESP1,SET3-CARD-01,Cardiomyocyte human,Fibroblast,35,1.11,Cardiac,3166
PAX8,SET3-REC-01,Renal tubular epithelial,Fibroblast,39,1.23,Renal,3166
HNF4A,SET3-REC-01,Renal tubular epithelial,Fibroblast,45,1.42,Renal,3166
MYOCD,SET3-CARD-01,Cardiomyocyte human,Fibroblast,46,1.45,Cardiac,3166
OLIG2,SET3-OLIGO-01,Oligodendrocyte,Astrocyte,56,1.77,Glial,3166
ASCL1,SET3-NEURON-06,Neuron from astrocyte,Astrocyte,60,1.90,Neuron,3166
FOXP3,SET3-TREG-01,Regulatory T cell,CD4+ T conv,66,2.08,Immune,3166
NEUROG2,SET3-NEURON-09,Neuron from astrocyte,Astrocyte,67,2.12,Neuron,3166
REL,SET3-mRegDC-01,mature regulatory DC,Fibroblast,109,3.44,Immune,3166
IRF8,SET3-DC-01,cDC1,Fibroblast,121,3.82,Immune,3166
MEF2C,SET3-CARD-01,Cardiomyocyte human,Fibroblast,149,4.71,Cardiac,3166
DLX2,SET3-NEURON-03,GABAergic interneuron,Astrocyte,153,4.83,Neuron,3166
SOX2,SET3-NEURON-05,Neuron from astrocyte,Astrocyte,201,6.35,Neuron,3166
ETV1,SET3-PODO-01,Podocyte progenitor,NPC,248,7.83,Renal,3166
IRF4,SET3-DC-02,cDC2,Fibroblast,276,8.72,Immune,3166
PTF1A,SET3-NSC-01,Neural stem cell,Fibroblast,395,12.48,Neuron,3166
KLF4,SET3-mRegDC-01,mature regulatory DC,Fibroblast,436,13.77,Immune,3166
IKZF2,SET3-MYELOID-01,Monocyte/Macrophage,Fibroblast,557,17.59,Immune,3166
TFCP2L1,SET3-AT2-02,AT2 regeneration,AT2,921,29.09,Lung,3166
NR2F1,SET3-PODO-01,Podocyte progenitor,NPC,983,31.05,Renal,3166
SOX4,SET3-PODO-01,Podocyte progenitor,NPC,1010,31.90,Renal,3166
BCL2,SET3-NEURON-04,Parvalbumin interneuron,Astroglia,1721,54.36,Neuron,3166
SOX10,SET3-OLIGO-01,Oligodendrocyte,Astrocyte,1884,59.51,Glial,3166
