factor,cocktail_id,target_cell,source_cell,rank,percentile,family,n_regulatory
FOXG1,NEURON-07,Neural progenitor,Fibroblast,1,0.03,Neuron,3166
PDX1,BETA-02,Pancreatic beta cell,Hepatocyte,1,0.03,Endocrine,3166
GATA1,BLOOD-05,Erythroid progenitor,Fibroblast,1,0.03,Blood,3166
EGR2,GLIAL-03,Schwann cell,Fibroblast,1,0.03,Glial,3166
MYOCD,MUSCLE-03,Smooth muscle,Fibroblast,2,0.06,Muscle,3166
TBX5,CARDIO-01,Cardiomyocyte,Fibroblast,3,0.09,Cardiac,3166
NEUROD2,NEURON-14,Neuron (generic),Fibroblast,4,0.13,Neuron,3166
TBX20,CARDIO-08,Cardiomyocyte,Fibroblast,5,0.16,Cardiac,3166
HNF4A,HEPATO-01,Hepatocyte,Fibroblast,5,0.16,Hepatic,3166
SPI1,BLOOD-03,Macrophage,Fibroblast,6,0.19,Blood,3166
PPARG,ADIPO-01,Brown adipocyte,Fibroblast,6,0.19,Mesenchymal,3166
SP7,OSTEO-01,Osteoblast,Fibroblast,6,0.19,Mesenchymal,3166
MYT1L,NEURON-01,Neuron (generic),Fibroblast,7,0.22,Neuron,3166
ONECUT1,HEPATO-03,Hepatocyte,Fibroblast,7,0.22,Hepatic,3166
HNF1A,HEPATO-02,Hepatocyte,Fibroblast,8,0.25,Hepatic,3166
PAX6,NEURON-11,Neuron (generic),Astrocyte,9,0.28,Neuron,3166
CEBPA,ADIPO-02,White adipocyte,Fibroblast,9,0.28,Mesenchymal,3166
GATA4,CARDIO-01,Cardiomyocyte,Fibroblast,10,0.32,Cardiac,3166
ATF5,HEPATO-03,Hepatocyte,Fibroblast,10,0.32,Hepatic,3166
MAFA,BETA-03,Pancreatic beta cell,Alpha cell,10,0.32,Endocrine,3166
FOXA3,HEPATO-02,Hepatocyte,Fibroblast,12,0.38,Hepatic,3166
MYOD1,MUSCLE-01,Myoblast,Fibroblast,12,0.38,Muscle,3166
BATF3,DC-01,Dendritic cell (cDC1),Fibroblast,14,0.44,Immune,3166
PROX1,HEPATO-03,Hepatocyte,Fibroblast,18,0.57,Hepatic,3166
RUNX2,OSTEO-01,Osteoblast,Fibroblast,20,0.63,Mesenchymal,3166
FOXA2,HEPATO-04,Hepatocyte,Fibroblast,22,0.69,Hepatic,3166
HAND2,CARDIO-02,Cardiomyocyte,Fibroblast,24,0.76,Cardiac,3166
NEUROD1,NEURON-06,Motor neuron,Fibroblast,25,0.79,Neuron,3166
PAX4,BETA-04,Pancreatic beta cell,Fibroblast,28,0.88,Endocrine,3166
FOXA1,HEPATO-01,Hepatocyte,Fibroblast,29,0.92,Hepatic,3166
MESP1,CARDIO-04,Cardiomyocyte,Fibroblast,35,1.11,Cardiac,3166
FOXQ1,KERATO-01,Keratinocyte,Fibroblast,41,1.30,Epithelial,3166
ASCL1,NEURON-15,Neuron (generic),Hepatocyte,44,1.39,Neuron,3166
OLIG2,GLIAL-01,OPC,Fibroblast,45,1.42,Glial,3166
IRF7,DC-03,Plasmacytoid DC,Fibroblast,46,1.45,Immune,3166
PRDM16,ADIPO-01,Brown adipocyte,Fibroblast,46,1.45,Mesenchymal,3166
POU3F2,NEURON-01,Neuron (generic),Fibroblast,47,1.48,Neuron,3166
SRF,MUSCLE-03,Smooth muscle,Fibroblast,49,1.55,Muscle,3166
SOX17,ENDO-03,Microvascular endothelial,Keratinocyte,50,1.58,Vascular,3166
SOX9,CHONDRO-01,Chondrocyte,Fibroblast,53,1.67,Mesenchymal,3166
SMAD6,CARDIO-08,Cardiomyocyte,Fibroblast,59,1.86,Cardiac,3166
NKX6-2,GLIAL-01,OPC,Fibroblast,61,1.93,Glial,3166
NEUROG2,NEURON-10,Neuron (generic),Astrocyte,67,2.12,Neuron,3166
NKX2-2,NEURON-20,Serotonergic neuron,Fibroblast,74,2.34,Neuron,3166
ERG,ENDO-01,Endothelial,Fibroblast,74,2.34,Vascular,3166
MAFB,KERATO-01,Keratinocyte,Fibroblast,76,2.40,Epithelial,3166
TAL1,BLOOD-05,Erythroid progenitor,Fibroblast,78,2.46,Blood,3166
CEBPB,BLOOD-03,Macrophage,Fibroblast,87,2.75,Blood,3166
NR4A2,NEURON-03,Dopaminergic neuron,Fibroblast,99,3.13,Neuron,3166
IRF8,DC-01,Dendritic cell (cDC1),Fibroblast,121,3.82,Immune,3166
SOX2,NEURON-07,Neural progenitor,Fibroblast,122,3.85,Neuron,3166
FOS,KERATO-01,Keratinocyte,Fibroblast,128,4.04,Epithelial,3166
REL,KERATO-01,Keratinocyte,Fibroblast,134,4.23,Epithelial,3166
DLX2,NEURON-19,GABAergic neuron,Fibroblast,137,4.33,Neuron,3166
MEF2C,CARDIO-01,Cardiomyocyte,Fibroblast,149,4.71,Cardiac,3166
NFIB,GLIAL-04,Astrocyte,Fibroblast,158,4.99,Glial,3166
