factor,cocktail_id,target_cell,source_cell,rank,percentile,family,n_regulatory
MNX1,NEURON-05,Motor neuron,Fibroblast,205,6.48,Neuron,3166
ETV2,ENDO-01,Endothelial,Fibroblast,240,7.58,Vascular,3166
IRF4,DC-02,Dendritic cell (cDC2),Fibroblast,276,8.72,Immune,3166
LMX1B,NEURON-20,Serotonergic neuron,Fibroblast,302,9.54,Neuron,3166
TCF7L1,ENDO-03,Microvascular endothelial,Keratinocyte,312,9.85,Vascular,3166
GATA2,NEURON-20,Serotonergic neuron,Fibroblast,362,11.43,Neuron,3166
IRF1,ENDO-03,Microvascular endothelial,Keratinocyte,382,12.07,Vascular,3166
KLF4,CHONDRO-01,Chondrocyte,Fibroblast,403,12.73,Mesenchymal,3166
FLI1,ENDO-01,Endothelial,Fibroblast,474,14.97,Vascular,3166
ISL1,NEURON-05,Motor neuron,Fibroblast,492,15.54,Neuron,3166
NEUROG3,BETA-04,Pancreatic beta cell,Fibroblast,540,17.06,Endocrine,3166
MYC,BLOOD-05,Erythroid progenitor,Fibroblast,643,20.31,Blood,3166
FEV,NEURON-20,Serotonergic neuron,Fibroblast,853,26.94,Neuron,3166
POU5F1,BLOOD-01,Blood progenitor,Fibroblast,1173,37.05,Blood,3166
NFIA,GLIAL-04,Astrocyte,Fibroblast,1211,38.25,Glial,3166
LMX1A,NEURON-03,Dopaminergic neuron,Fibroblast,1636,51.67,Neuron,3166
LHX3,NEURON-05,Motor neuron,Fibroblast,1689,53.35,Neuron,3166
SOX10,GLIAL-01,OPC,Fibroblast,1889,59.67,Glial,3166
SMAD1,ENDO-03,Microvascular endothelial,Keratinocyte,1897,59.92,Vascular,3166
LMO2,BLOOD-05,Erythroid progenitor,Fibroblast,2160,68.22,Blood,3166
