cell_type,published_factors,n_factors,omnis_ranks,omnis_top5_pct,omnis_top10_pct,mogrify_data_type,mogrify_detail,mogrify_recovery_matched_N,mogrify_source,transsynw_top5_pct,transsynw_reported,transsynw_source,notes
Cardiomyocyte,GATA4; MEF2C; TBX5; HAND2,4,GATA4: #10 (0.3%); MEF2C: #149 (4.7%); TBX5: #3 (0.1%); HAND2: #24 (0.8%),100.0,100.0,Exact ranked list,GATA4: #3 of 8; MEF2C: #8 of 8; TBX5: #4 of 8; HAND2: not in top 8,3/4,"Rackham et al. 2016, Supp Table 5 (exact ranked list)",50.0,"GATA4, TBX5 identified; MEF2C ranked lower","Xu et al. 2020, Fig 3",Mogrify data from exact ranked TF list (Supp Table 5)
Hepatocyte,HNF4A; FOXA3; HNF1A,3,HNF4A: #5 (0.2%); FOXA3: #12 (0.4%); HNF1A: #8 (0.3%),100.0,100.0,Exact ranked list,HNF4A: #2 of 8; FOXA3: not in top 8; HNF1A: not in top 8,1/3,"Rackham et al. 2016, Supp Table 5 (exact ranked list)",33.3,HNF4A identified; HNF1A top 10%,Xu et al. 2020,Mogrify data from exact ranked TF list (Supp Table 5)
Neuron (generic),ASCL1; POU3F2; MYT1L,3,ASCL1: #44 (1.4%); POU3F2: #47 (1.5%); MYT1L: #7 (0.2%),100.0,100.0,Approximate (from figures),ASCL1 (top 1%); BRN2 ranked top 10%; MYT1L not ranked,1/3 (approx),Rackham et al. 2016; MYT1L lacks expression data,66.7,ASCL1 (top 1%); BRN2 (top 5%); MYT1L not in top 20%,"Xu et al. 2020, Fig 2",
Skeletal Muscle,MYOD1; MEF2C,2,MYOD1: #12 (0.4%); MEF2C: not in pool,50.0,50.0,Exact ranked list,MYOD1: #2 of 7; MEF2C: not in top 7,1/2,"Rackham et al. 2016, Supp Table 5 (exact ranked list)",50.0,MYOD1 identified,Xu et al. 2020,Mogrify data from exact ranked TF list (Supp Table 5)
Macrophage,SPI1; CEBPA; CEBPB,3,SPI1: #6 (0.2%); CEBPA: #244 (7.7%); CEBPB: #87 (2.7%),66.7,100.0,Exact ranked list,SPI1: #2 of 6; CEBPA: #3 of 6; CEBPB: not in top 6,2/3,"Rackham et al. 2016, Supp Table 5 (exact ranked list)",33.3,PU.1 identified; CEBPA in top 10%,Xu et al. 2020,Mogrify data from exact ranked TF list (Supp Table 5)
Beta Cell,PDX1; NEUROG3; MAFA,3,PDX1: #1 (0.0%); NEUROG3: #540 (17.1%); MAFA: #10 (0.3%),66.7,66.7,Approximate (from figures),PDX1 (top 5%); NGN3 and MAFA not in top 20%,1/3 (approx),Rackham et al. 2016; endocrine markers sparse,33.3,PDX1 identified; NGN3 in top 15%,Xu et al. 2020,
Endothelial,ETV2; FLI1; ERG,3,ETV2: #240 (7.6%); FLI1: #474 (15.0%); ERG: #74 (2.3%),33.3,66.7,Approximate (from figures),ETV2 (top 10%); FLI1/ERG not ranked highly,0/3 (approx),Rackham et al. 2016; vascular TFs have broad expression,0.0,ETV2 only partially identified,Xu et al. 2020,All methods fail; annotation gap for vascular TFs
